ID,owner_age,personal_income,business_expenses,business_turnover,business_age_years,Target,savings_and_assets,debt_and_repayment,res_to_shocks,access_to_cred
ID_3CFL0U,63.0,3000.0,6000.0,7000.0,14.0,Low,38.987,48.77100000000001,163.735,33.285
ID_XWI7G3,39.0,,,,15.0,Medium,33.412,43.392,112.417,33.285
ID_TY93LV,34.0,30000.0,6000.0,13000.0,5.0,Low,24.732,48.77100000000001,80.69200000000001,35.157
ID_9OP2C8,28.0,180000.0,60000.0,30000.0,1.0,Low,27.853,45.654,80.69200000000001,33.285
ID_13REYS,43.0,50.0,2400.0,1800.0,3.0,Low,21.058,34.896,115.02000000000001,34.221
ID_57I1NI,39.0,250.0,10.0,60.0,0.0,Low,20.513,34.536,79.218,22.502
ID_L3TKQV,25.0,10000.0,1350.0,3000.0,7.0,Medium,20.513,34.536,80.24900000000001,22.502
ID_KB700U,44.0,14000.0,8500.0,15000.0,1.0,Low,38.987,48.09100000000001,115.186,33.285
ID_DUQI8U,34.0,150.0,1680.0,3360.0,5.0,Medium,38.979,34.216,66.47800000000001,34.221
ID_27YH6U,65.0,5000.0,9000.0,22000.0,20.0,Medium,34.079,55.26700000000001,63.19,33.285
ID_CBJS4T,42.0,1166000.0,7000000.0,14000000.0,10.0,Low,23.512,45.654,80.69200000000001,33.285
ID_KJ6SZX,56.0,5000.0,1000.0,5000.0,10.0,Low,18.059,49.818,79.56400000000001,22.502
ID_DITN5K,36.0,1500.0,1100.0,2500.0,3.0,Low,44.554,56.00200000000001,115.70500000000001,33.285
ID_RNUTPC,41.0,200.0,2880.0,5400.0,4.0,Low,37.759,39.13,144.586,34.221
ID_AMNJ8P,47.0,13000.0,15000.0,140000.0,6.0,Low,18.059,26.895000000000003,79.56400000000001,22.502
ID_LCUFVJ,43.0,250.0,480.0,1080.0,4.0,Medium,38.979,34.556000000000004,120.91000000000001,34.221
ID_P1KFV4,32.0,350.0,,,6.0,Low,37.759,26.400000000000002,115.53200000000001,34.221
ID_GMTQ0H,34.0,400.0,1800.0,2400.0,6.0,Medium,38.979,26.400000000000002,106.35400000000001,34.221
ID_TZK3NY,31.0,2000.0,60000.0,83250.0,4.0,Low,27.837,41.400000000000006,115.02000000000001,35.157
ID_65R96K,36.0,2000.0,2500.0,5400.0,3.0,Low,50.796,40.08,115.70500000000001,33.285
